v1, Core, ConditionCreated, 140.249792, 22572470
v1, Core, ConditionCreated, 334.131041, 22572473
v1, Core, ConditionCreated, 165.093917, 22572476
v1, Core, ConditionCreated, 121.25175, 22572479
v1, Core, ConditionCreated, 120.418834, 22572482
v1, Core, ConditionCreated, 130.360666, 22572486
v1, Core, ConditionCreated, 128.534792, 22572488
v1, Core, ConditionCreated, 136.794875, 22572491
v1, Core, ConditionCreated, 133.725125, 22572495
v1, Core, ConditionCreated, 127.816125, 22572497
v1, Core, ConditionCreated, 145.150792, 22572500
v1, Core, ConditionCreated, 138.852375, 22572503
v1, Core, ConditionCreated, 130.430125, 22572506
v1, LP, NewBet, 0.078708, 22572671
v1, LP, NewBet, 0.037125, 22572681
v1, LP, NewBet, 0.031917, 22572708
v1, LP, NewBet, 0.119083, 22572725
v1, LP, NewBet, 0.027125, 22573459
v1, LP, NewBet, 0.02775, 22573468
v1, LP, NewBet, 0.025792, 22573475
v1, LP, NewBet, 0.023542, 22573483
v1, LP, NewBet, 0.02475, 22573506
v1, LP, NewBet, 0.023458, 22573515
v1, LP, NewBet, 0.020792, 22573541
v1, LP, NewBet, 0.024166, 22573558
v1, LP, NewBet, 0.022583, 22574348
v1, LP, NewBet, 0.024584, 22574356
v1, LP, NewBet, 0.025417, 22574373
v1, LP, NewBet, 0.028334, 22574392
v1, LP, NewBet, 0.024958, 22575444
v1, Core, ConditionResolved, 0.378541, 22576175
v1, Core, ConditionResolved, 0.058083, 22576178
v1, Core, ConditionResolved, 0.055584, 22576181
v1, Core, ConditionResolved, 0.030459, 22576184
v1, Core, ConditionResolved, 0.03475, 22576190
v1, Core, ConditionResolved, 0.056417, 22576196
v1, Core, ConditionResolved, 0.049208, 22576202
v1, Core, ConditionResolved, 0.038541, 22576205
v1, Core, ConditionResolved, 0.05725, 22576208
v1, Core, ConditionResolved, 0.09675, 22576211
v1, Core, ConditionResolved, 0.042667, 22576214
v1, Core, ConditionResolved, 0.2375, 22576218
